Arrest_Date,Police_Department_Code,Offense_Description,Offense_Key_Code,Offense_Detailed_Description,Law_Code,Offense_Category_Code,Arrest_Borough,Arrest_Precinct,Jurisdiction_Code,Perpetrator_Age_Group,Perpetrator_Sex,Perpetrator_Race,Latitude,Longitude,Arrest_Day_of_Week,Location
2024-06-06T00:00:00.000-04:00,477,THEFT OF SERVICES- CABLE TV SE,678,OTHER,PL 1651509,V,MANHATTAN,6,1,25-44,M,BLACK,40.73170654022224,-74.00095616452742,Thursday,"40.73170654022224, -74.00095616452742"
2024-07-02T00:00:00.000-04:00,494,"STOLEN PROPERTY 2,1,POSSESSION",111,OTHER,PL 1654501,F,MANHATTAN,34,0,18-24,M,HISPANIC,40.862257,-73.926297,Tuesday,"40.862257, -73.926297"
2024-06-10T00:00:00.000-04:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,BROOKLYN,75,0,25-44,M,HISPANIC,40.671404,-73.881509,Monday,"40.671404, -73.881509"
2024-06-05T00:00:00.000-04:00,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,OTHER,PL 1402501,F,BROOKLYN,70,0,18-24,M,BLACK,40.622535,-73.963259,Wednesday,"40.622535, -73.963259"
2024-06-06T00:00:00.000-04:00,419,"LARCENY,GRAND FROM PERSON,UNCL",109,THEFT,PL 1553005,F,QUEENS,109,0,25-44,F,HISPANIC,40.759569525960025,-73.83013930521312,Thursday,"40.759569525960025, -73.83013930521312"
2024-06-24T00:00:00.000-04:00,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,THEFT,PL 1553004,F,BROOKLYN,75,0,25-44,M,BLACK,40.666147,-73.88323,Monday,"40.666147, -73.88323"
2024-06-16T00:00:00.000-04:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,MANHATTAN,33,0,18-24,F,BLACK,40.835764,-73.944616,Sunday,"40.835764, -73.944616"
2024-10-16T00:00:00.000-04:00,639,AGGRAVATED HARASSMENT 2,361,OTHER,PL 2403001,M,BROOKLYN,61,0,25-44,M,ASIAN,40.613067,-73.944242,Wednesday,"40.613067, -73.944242"
2024-06-21T00:00:00.000-04:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,BROOKLYN,63,0,18-24,M,BLACK,40.637085,-73.926319,Friday,"40.637085, -73.926319"
2024-10-16T00:00:00.000-04:00,515,"CONTROLLED SUBSTANCE,SALE 3",117,DRUGS,PL 2203901,F,BRONX,48,0,65+,M,BLACK,40.846686,-73.893206,Wednesday,"40.846686, -73.893206"
